date,away,home,away_spread,home_spread,total_line,away_score,home_score,away_offrtg,away_defrtg,away_reb_percent,away_tov_percent,away_ts_percent,away_pace,away_pie,home_offrtg,home_defrtg,home_reb_percent,home_tov_percent,home_ts_percent,home_pace,home_pie
20241203,warriors,nuggets,4.5,-4.5,236.5,115,119,110.2,108.8,51.6,14.4,54.8,101.75,50.2,116.8,115.4,49.2,13.9,60.5,100.3,51.8
20241203,rockets,kings,1.5,-1.5,227.5,111,120,112.4,101.2,52.5,12.7,54.9,102.86,57.2,114.6,116.1,52.2,15.3,58.7,97.63,49.0
20241203,blazers,clippers,8.5,-8.5,220.5,105,127,108.6,112.4,49.4,18.0,55.7,100.35,47.0,109.8,105.0,52.0,15.8,56.5,99.35,51.7
20241204,pistons,celtics,14.5,-14.5,221.5,120,130,110.4,113.7,50.6,15.5,56.0,98.62,48.9,121.4,111.8,49.6,11.8,60.8,97.53,53.7
20241204,pacers,nets,-2.5,2.5,225.5,90,99,112.2,117.6,48.2,14.8,58.6,103.1,47.7,113.2,118.9,44.4,14.6,59.5,97.1,45.9
20241204,lakers,heat,3.5,-3.5,216.5,93,134,109.8,115.8,47.5,13.4,56.9,96.85,48.1,112.2,111.0,48.5,12.2,56.1,96.93,50.0
20241204,magic,76ers,-5.5,5.5,208.5,106,102,113.1,106.2,50.9,15.7,57.8,96.2,55.0,105.6,111.2,47.2,14.7,54.8,97.24,46.3
20241204,hawks,bucks,4.5,-4.5,237.5,119,104,110.5,109.9,51.9,16.5,56.6,105.9,52.0,117.6,108.8,48.9,14.1,61.4,98.82,54.4
20241204,timberwolves,clippers,-3.5,3.5,213.5,108,80,109.3,110.3,48.9,15.7,57.5,97.03,49.1,113.7,104.4,52.0,16.0,58.4,98.0,53.9
20241205,nuggets,cavaliers,3.5,-3.5,233.5,114,126,114.9,114.2,48.3,13.5,59.3,100.65,51.2,119.5,111.1,49.6,13.2,61.4,101.25,53.8
20241205,mavericks,wizards,-14.5,14.5,232.5,137,101,119.0,109.1,53.3,15.0,60.1,101.79,54.9,102.5,119.6,50.1,15.9,53.9,103.55,40.4
20241205,hornets,knicks,14.5,-14.5,217.5,101,125,110.0,114.5,50.5,16.2,54.3,96.25,46.5,123.6,113.8,52.4,13.3,62.6,97.85,56.1
